lat_values	lng_values	city	country	Temp	Humidity	Cloudiness	Wind Speed	Lat	Longitude
63.00457960419561	57.50473138963457	vuktyl	ru	11.61	76	64	5.57	63.86	57.31
-80.87743320744217	-21.529339911841618	ushuaia	ar	48.2	81	20	16.11	-54.81	-68.31
-33.61964603224726	69.24459092795286	mahebourg	mu	78.8	88	40	6.42	-20.41	57.7
76.79441241229264	-147.8860883469127	barrow	us	27.37	62	1	5.75	39.51	-90.4
29.843753771381614	-140.09344465237382	hilo	us	68.43	94	90	3.36	19.71	-155.08
-40.17462281733916	2.044285116868366	saldanha	za	59	82	0	3.36	-33.01	17.94
88.7099145379812	-171.76940619035983	mys shmidta	ru						
-81.01759550472076	58.19227505317468	east london	za	69.79	100	88	6.08	-33.02	27.91
87.82718768001916	-134.77534766719236	tuktoyaktuk	ca	-6.54	83	75	18.34	69.44	-133.03
28.63324984715547	-30.48053773022292	ribeira grande	pt	57.96	100	92	7.92	38.52	-28.7
73.4419588518806	-73.80448235480551	qaanaaq	gl	-7.3	89	20	2.1	77.48	-69.36
1.621016727824852	-111.56190175954524	coahuayana	mx	64.57	67	0	2.06	18.62	-100.35
-70.58918533137177	-117.15717416471378	punta arenas	cl	44.6	65	0	10.29	-53.16	-70.91
45.48239994974563	-99.73876148204863	aberdeen	us	46.4	93	75	6.93	46.98	-123.82
-48.331501810197416	-167.21715445575083	avarua	ck	78.8	94	75	24.16	-21.21	-159.78
42.760941162571754	65.35801553724949	shieli	kz	4.32	72	0	8.88	44.18	66.74
78.15765451921826	63.685742293137395	amderma	ru						
-88.13961457003975	-11.556958148558408	hermanus	za	58.09	95	24	5.79	-34.42	19.24
-41.12372957825193	-68.89068469345497	neuquen	ar	80.6	44	0	9.78	-38.95	-68.06
-25.486569230722054	58.28294032239171	saint-philippe	re	76.03	69	0	6.93	-21.36	55.77
-20.3950848390583	-79.25056297098787	marcona	pe						
-49.03022380260511	-5.662281555249962	cape town	za	62.6	82	0	8.05	-33.93	18.42
-53.11706023633802	134.97499447816978	new norfolk	au	68	45	75	24.16	-42.78	147.06
-77.8223276821398	179.7605489019465	kaitangata	nz	68.49	51	8	20.62	-46.28	169.85
27.43853107129769	-27.409068380629748	los llanos de aridane	es	60.8	72	0	8.05	28.66	-17.92
0.9753897672167966	59.83594983335658	victoria	sc	78.8	78	40	1.12	-4.62	55.45
-30.73378561890941	85.25791876230807	carnarvon	au	80.37	86	0	19.06	-24.87	113.63
-86.82854295890343	95.59317969090267	albany	au	85.27	45	0	5.91	-35.02	117.88
37.96638612563501	-168.86872257350916	kapaa	us	75.2	69	75	13.87	22.08	-159.32
4.83497223278124	-0.3493387185410768	winneba	gh	82.4	88	90	11.41	5.35	-0.62
28.4709474387263	78.54205080489015	bahjoi	in	60.16	82	0	9.89	28.39	78.62
-70.71194907207882	-147.40093997868945	mataura	pf						
29.85834914173958	121.37744761342742	ningbo	cn	46.4	61	0	2.24	29.88	121.54
23.920811589928675	160.98712314867726	hasaki	jp	49.15	61	40	3.36	35.73	140.83
12.765502677269808	-43.443561551529825	cayenne	gf	77	88	75	4.7	4.94	-52.33
49.51760493969226	176.45846287586056	nikolskoye	ru	21.2	92	75	11.18	59.7	30.79
52.76760833020535	-17.51962314220077	dingle	ie	46.89	94	92	15.59	52.14	-10.27
-29.793752128872043	-136.55917031762465	rikitea	pf	79.42	100	44	12.91	-23.12	-134.97
9.39988868785872	149.28283459415496	lorengau	pg	82.71	100	64	13.29	-2.02	147.27
39.2643976953683	67.73347777083046	panjakent	tj	30.2	86	0	4.7	39.5	67.61
-40.298286311664825	-82.32520933238702	ancud	cl	61.47	98	92	5.08	-41.87	-73.83
-58.64450686619583	94.66383836645673	busselton	au	75.64	85	8	10.38	-33.64	115.35
5.600957322559097	157.71769076853957	namatanai	pg	84.19	96	8	13.18	-3.66	152.44
-72.1178969494207	16.899345959639305	bredasdorp	za	68	60	44	6.93	-34.53	20.04
3.1314592237140175	-148.50766428341052	atuona	pf	80.59	100	64	15.08	-9.8	-139.03
-8.14778336392503	113.3514965099078	tanggul	id	83.07	99	0	11.12	-8.16	113.45
69.77014226198196	-13.2883725590994	husavik	is	21.2	79	0	2.24	66.04	-17.34
18.09335744369345	-48.39111838637422	bathsheba	bb	75.2	88	40	20.8	13.22	-59.52
-12.120650563237191	-101.67320947697786	puerto ayora	ec	75.24	100	56	7.65	-0.74	-90.35
23.611455972515714	118.77241987196629	makung	tw						
50.71831326296467	-114.44049975380302	black diamond	ca	19.35	73	75	9.17	50.69	-114.23
62.02160322157886	139.05794444526202	solnechnyy	ru	4.63	60	36	6.08	50.72	136.64
-22.275549206079745	36.168099912826904	inhambane	mz	76.54	100	92	8.77	-23.87	35.38
51.51427547014791	43.3805977624464	repnoye	ru	15.84	90	92	11.16	51.59	43.18
-5.122094391498223	139.41673032980316	kiunga	pg	84.51	75	44	3	-6.12	141.3
-88.54787120840146	158.50431954277752	bluff	nz	62.32	97	56	29.24	-46.6	168.33
76.48146530829882	-144.13230866677762	fairbanks	us	10.49	92	20	2.77	64.84	-147.72
87.57203177122804	-104.86485816397406	yellowknife	ca	1.4	77	90	13.87	62.45	-114.38
77.71389474491917	-50.55237942681353	upernavik	gl	-4.87	100	44	2.51	72.79	-56.15
86.77872202391143	134.30284524017873	nizhneyansk	ru						
-61.80608015319399	36.96029470321744	port alfred	za	67.95	100	92	7.36	-33.59	26.89
15.342639979858902	124.09658103037344	pandan	ph	81.04	97	0	14.36	11.72	122.09
18.079303140328733	-23.185445767044854	santa maria	cv	68	77	75	12.75	16.6	-22.9
17.44562128254549	54.29938159099882	salalah	om	71.6	73	40	1.12	17.01	54.1
13.672538571903829	46.27320850170932	lahij	ye	60.34	100	20	3.74	13.06	44.88
-21.219934904359064	45.60532968220622	beroroha	mg	67.36	92	0	2.55	-21.68	45.17
34.530871343945364	169.18480497443318	severo-kurilsk	ru	23.89	100	44	12.12	50.68	156.12
23.45892144184647	7.156049053342343	gat	ly						
36.838134807709935	127.03125578542637	seoul	kr	29.86	18	0	10.29	37.57	126.98
-39.42122745533273	-21.228115912830503	arraial do cabo	br	74.11	99	20	5.91	-22.97	-42.02
-19.56815501918588	-179.60878911929146	vaini	to	87.8	62	75	9.17	-21.2	-175.2
-12.375231977137076	62.19151885966167	grand gaube	mu	78.8	88	40	12.62	-20.01	57.66
17.099050391745664	122.85124024952921	dicabisagan	ph	78.84	99	44	3.51	17.08	122.42
82.60224576837805	157.89920500090682	cherskiy	ru	-7.75	93	64	3.33	68.75	161.3
61.55682873878786	69.57924802620133	gornopravdinsk	ru	10.93	86	68	7.25	60.06	69.92
-44.809342063322376	141.9348898486317	burnie	au	63.9	100	76	24.2	-41.05	145.91
-30.64209094700331	2.7310479116049464	luderitz	na	60.8	87	0	3.36	-26.65	15.16
48.513333096455455	84.26137518864886	kurchum	kz	4.63	76	48	2.73	48.57	83.65
-14.191981026834952	3.245425739313845	namibe	ao	76.95	100	32	4.79	-15.19	12.15
-14.128774676165847	-92.79955530854434	san cristobal	ec	61.33	100	92	1.88	-1.02	-79.44
86.7741451688835	57.64620944915896	belushya guba	ru						
43.25599974739626	-69.21478781178092	rockland	us	40.3	60	20	9.17	42.13	-70.92
20.413814910897642	110.19831525459267	xucheng	cn	47.79	54	0	15.64	33	118.51
0.681428215190266	34.151087655533274	tororo	ug	64.57	64	0	9.04	0.69	34.18
-30.1668063327895	-64.27588298424993	cordoba	ar	58.36	89	44	1.28	-27.78	-67.24
-30.509080750760667	26.682622877069434	aliwal north	za	49.99	89	12	2.62	-30.69	26.71
-0.30326861673979977	88.13486386788867	meulaboh	id	82.48	100	0	4.74	4.14	96.13
-13.85633946012122	-62.808908069015104	san ramon	bo	74.25	93	0	2.84	-13.27	-64.62
40.72986092408411	-57.103713401383274	louisbourg	ca						
75.81114360067622	-17.779426944235183	illoqqortoormiut	gl						
24.684651559033526	70.01753827561657	islamkot	pk	59.4	61	0	2.77	24.7	70.18
0.5706399605237351	-56.12488386478621	oriximina	br	78.3	88	36	4.63	-1.77	-55.87
32.56824423467101	-53.09920583661369	saint george	bm	69.8	88	75	17.22	32.38	-64.68
21.070792505008725	42.212861630925715	mecca	sa	77	73	20	1.83	21.43	39.83
-4.312667130754946	73.02961045133998	hithadhoo	mv	80.46	100	80	3.89	-0.6	73.08
-22.388333953511108	148.34832264544832	moranbah	au	86.89	95	0	4.79	-22	148.04
-18.83331416462397	74.20970888591373	grand river south east	mu						
-19.28442668963652	-19.76263622542467	georgetown	sh	77.31	100	24	13.91	-7.93	-14.42
3.1845236167563655	71.32430921807588	kudahuvadhoo	mv	79.87	100	88	6.24	2.67	72.89
52.62503141373463	28.661172271339154	lyuban	by	24.97	93	68	6.87	52.8	28
53.38648498224438	-135.66381332738086	sitka	us	39.37	36	80	14.85	37.17	-99.65
37.51944423285937	19.909578304271037	lixourion	gr	53.59	100	0	7.09	38.2	20.43
41.58009785024274	124.71561232211877	xiaoshi	cn	53.1	79	0	4.41	30.59	116.63
7.157833358453033	62.71048509851536	kulhudhuffushi	mv	81.72	100	32	6.02	6.62	73.07
68.4327823976327	152.7662617590429	srednekolymsk	ru	-10.04	70	88	4.63	67.46	153.71
8.855649136423708	-41.02933947122466	carutapera	br	77.98	92	56	6.08	-1.2	-46.02
-86.66182963891342	66.31413384630903	taolanaro	mg						
49.68558482746141	54.06600825145429	chingirlau	kz	3.37	85	44	4.63	51.09	54.08
-22.50945900427807	165.5926225105789	bouloupari	nc	80.6	88	48	19.46	-21.87	166.05
-16.218118060487882	131.67994368540496	katherine	au	87.8	58	40	11.41	-14.47	132.26
42.1411126703008	-68.09358655610882	brewster	us	42.21	75	90	12.75	41.76	-70.08
